Name,Color,Game,Description,
Ace,Red,BG,Successfully complete a Contract with 2 or more Hazard Dice targeting you.,
Barrage,Orange,BG,Play at least a total of 5 Damage on the same Contract (even if you fail it)..,
Chain Reaction,Blue,BG,Play at least 4 Reactor Cards toward a single Contract (even if you fail it).,
Daredevil,Green,BG,Play no Green Shield cards when you've successfully completed a Green Rescue Contract..,
Efficiency,Yellow,BG,Play no Yellow Thruster cards when you've successfully completed a Yellow Delivery Contract.,
Fire Support,Orange,BG,Play no Orange Damage cards when you've successfully completed an Orange Kill Contract.,
Generalist,Purple,BG,"Have an Orange Magnomi, Green Henko, Blue Komek, and Yellow Ventus Ship Part simultaneously attached to your ship.",
Gun for Hire,Orange,BG,Successfully solo an Orange Kill Contract.,
Megaton,Orange,BG,Simultaneously have 3 Orange Magnomi Ship Parts attached to your ship.,
Money Bags,Purple,BG,Have 8 or more Credits at the very end of your turn (even if you failed the Contract)..,
Natural Leader,Purple,BG,Play at least 3 Crew Cards on the same Contract (even if you fail it).,
Over 9000,Blue,BG,Simultaneously have 3 or more Blue Komek Ship Parts attached to your ship.,
Quick Run,Yellow,BG,Successfully solo a Yellow Delivery Contract.,
Quick Strike,Yellow,BG,Play at least 3 Thruster cards on the same Contract.,
Saboteur,Red,BG,Fail a Contract as an Ally (not a Mission Leader).,
Santa Maria,Blue,BG,Successfully solo a Blue Explore Contract.,
Shield Wall,Green,BG,Play at least 3 Shield cards on the same Contract (even if you fail it)..,
Specialist,Purple,BG,Simultaneously have 2 or more Purple Sorelia Ship Parts attached to your ship.,
Speed Demon,Yellow,BG,Simultaneously have 3 or more Yellow Ventus Ship Parts attached to your ship.,
Tank,Green,BG,Simultaneously have 3 or more Green Henko Ship Parts attached to your ship.,
Tinker,Purple,BG,"When you have 4 Ship parts attached to your Ship, replace one of them by purchasing a 5th Ship Part.",
Utopia,Purple,BG,Complete a Contract as a Mission Leader having every other player in the game participating in that Contract.,
You're My Hero,Green,BG,Successfully solo a Green Rescue Contract.,
Arsenal,Orange,OL,Play 3 different types of Damage cards toward a single Contract (even if you fail it)..,
IO-Adopter,Gray,OL,Have 2 Crew and/or Ship Part cards with at least 1 IOsphere token on them.,
IO-Hoard,Gray,OL,Have a total of 6 IOsphere tokens on your Crew and/or Ship Part cards.,
IO-Power,Gray,OL,Spend 3 IOsphere tokens toward a single Contract (even if you fail it)..,
Junker,Yellow,OL,Trash at least 2 cards toward a single Contract (even if you fail it)..,
Parasite,Red,OL,Successfully complete a Contract without playing any cards.,
Tactical,Green,OL,Play at least 2 Shield cards and 2 Damage cards on the same Contract (even if you fail it).,
Technologic,Purple,OL,Play 3 different types of Advanced Action cards toward the same Contract (even if you fail it).,
Untouchable,Red,OL,Block 2 Hazard icons without playing a Shield on the same Contract (even if you fail it).,
Weird Flex,Purple,OL,Successfully solo a Flex Contract.,
Alliance,Gray,BT,Have 5 Faction Reputation with 1 Faction and 0 with all of the others.,
Backup,Gray,BT,Gain 4 or more Faction Reputation on the same Contract (even if you fail it)..,
Brute,Red,BT,Fail a Contract as an Ally with a Mission Leader who either has the most Prestige or tied for the most Prestige.,
Call In Favors,Gray,BT,Spend 10 Faction Reputation toward a single Contract (even if you fail it).,
For Hire,Gray,BT,Spend Faction Reputation to get 2 Objectives when playing for the same Contract (even if you fail it)..,
Freeloader,Red,BT,Join a Contract for no reward.,
Hoarder,Yellow,BT,"Have a total of 20 or more cards among your hand, draw pile, and discard pile.",
Invest,Purple,BT,Spend Faction Reputation to gain at least 3 Credits toward a single Contract (even if you fail it)..,
Manifold,Yellow,BT,Spend Faction Reputation allowing you to draw 3 Cards on the same Contract (even if you fail it)..,
Responsive,Blue,BT,Spend Faction Reputation allowing you to gain 3 Actions on the same Contract (even if you fail it).,
Advantageous,Red,NOM,Trash a card during an Event.,
Clandestine,Purple,NOM,Successfully solo a Contract on Sorelia.,
Harmony,Gray,NOM,All players vote unanimously on a Policy.,
Opulence,Purple,NOM,Simultaneously have 2 or more Purple Sorelia Prototype Ship Parts attached to your ship.,
Benefactor,Red,STF,Take all of the Hazard Dice and none of the Credits on a Contract (even if you fail it).,
Blessing,Red,STF,Roll at least 2 blank Hazard Dice during a Contract (even if you fail it).,
Glare of Space,Gray,STF,Roll 2 matching Hazard Dice toward a single Contract.,
Ms. Fortune,Purple,STF,Gain a Bonus Card that has a value of 4 or more Credits.,
Royale,Purple,STF,Gain a Bonus Card that has a value of 3 or more Credits.,
